iter	Logloss
0	0.5372165207
1	0.4526979085
2	0.4081255381
3	0.3778820375
4	0.3566010734
5	0.3455788024
6	0.3350149362
7	0.3268511143
8	0.3229313329
9	0.318600002
10	0.3160912454
11	0.3135176159
12	0.3106303695
13	0.3088798668
14	0.3069789689
15	0.3054776533
16	0.3045584789
17	0.3026705406
18	0.3018711513
19	0.3008212528
20	0.2996067899
21	0.2979613029
22	0.2973443135
23	0.2965673987
24	0.2955955463
25	0.2945377135
26	0.2937356036
27	0.2931175514
28	0.2925602912
29	0.2918460781
30	0.2917785419
31	0.2910603623
32	0.2904930579
33	0.2900871011
34	0.2897632282
35	0.2895812944
36	0.2892607909
37	0.2887723607
38	0.2886813366
39	0.2884592288
40	0.2883828162
41	0.2880195473
42	0.2876902388
43	0.2874937556
44	0.2870975247
45	0.2869624025
46	0.2867326852
47	0.2855777797
48	0.2842084903
49	0.2837597212
50	0.2834459787
51	0.2831693965
52	0.2828664615
53	0.2824930819
54	0.2821017478
55	0.2800112782
56	0.2796829685
57	0.2793657658
58	0.2790374047
59	0.2786204494
60	0.2782211195
61	0.2775180851
62	0.2771055128
63	0.2759262882
64	0.2755936292
65	0.2753850356
66	0.2749924077
67	0.2744863707
68	0.2742298735
69	0.2733961804
70	0.2732752803
71	0.2724084299
72	0.27214828
73	0.2718378676
74	0.2711073432
75	0.2707851594
76	0.2705913882
77	0.2702451586
78	0.2698670142
79	0.269622071
80	0.2693393125
81	0.269031709
82	0.2687254921
83	0.2684955447
84	0.2682338521
85	0.2676012922
86	0.267356461
87	0.2672871931
88	0.2669132901
89	0.2668346093
90	0.266743041
91	0.2666036429
92	0.266390878
93	0.2660266837
94	0.2657297186
95	0.2655644819
96	0.265219229
97	0.2649265312
98	0.264862162
99	0.2645355057
100	0.2644254302
101	0.2643208405
102	0.2641631209
103	0.2639666291
104	0.263713454
105	0.2632507616
106	0.2629658802
107	0.2626480719
108	0.2625320669
109	0.2624438763
110	0.2621536099
111	0.2619830047
112	0.2617446409
113	0.2614621576
114	0.2612886031
115	0.2611375491
116	0.2609554567
117	0.2608697174
118	0.2607094185
119	0.2604774987
120	0.2603391868
121	0.2600738727
122	0.2598803905
123	0.2594936803
124	0.2594592955
125	0.2592509071
126	0.2590268613
127	0.25884966
128	0.2585788911
129	0.2584720916
130	0.2581501702
131	0.2580653079
132	0.2579643522
133	0.2577077676
134	0.2575712639
135	0.25748649
136	0.2569952198
137	0.2567286817
138	0.2565516092
139	0.256307855
140	0.2562292119
141	0.2559342301
142	0.2556401273
143	0.2555058778
144	0.2553754839
145	0.2553585054
146	0.2551091593
147	0.2550306565
148	0.2548189134
149	0.2545765061
150	0.2540581596
151	0.2539451527
152	0.2536856702
153	0.2535753928
154	0.2534077304
155	0.2532590563
156	0.2530819581
157	0.252913864
158	0.2525227961
159	0.2524080642
160	0.2522822121
161	0.2521566768
162	0.2520545821
163	0.2518058773
164	0.2515874174
165	0.2514339849
166	0.2513761772
167	0.2512300093
168	0.2510749811
169	0.2509883609
170	0.2507550879
171	0.2507237731
172	0.2504977559
173	0.2503702232
174	0.250165097
175	0.2498019033
176	0.2496528424
177	0.2496286904
178	0.2495429121
179	0.2492700147
180	0.2491140185
181	0.2489605555
182	0.2487129339
183	0.2484791653
184	0.2483504004
185	0.2482344125
186	0.2481588987
187	0.2479290121
188	0.2477150199
189	0.2475188474
190	0.2473529477
191	0.2472749288
192	0.2471787022
193	0.2470403284
194	0.2469420305
195	0.246816348
196	0.2467091525
197	0.2465868094
198	0.2462861669
199	0.2459744422
