iter	Passed	Remaining
0	25	5093
1	39	3939
2	52	3455
3	65	3207
4	80	3125
5	93	3028
6	108	2986
7	121	2910
8	134	2852
9	147	2793
10	158	2719
11	169	2661
12	182	2625
13	195	2602
14	212	2623
15	226	2599
16	238	2564
17	250	2537
18	263	2510
19	275	2476
20	287	2448
21	300	2434
22	312	2406
23	325	2387
24	337	2363
25	350	2344
26	363	2328
27	375	2304
28	389	2298
29	402	2281
30	411	2241
31	426	2238
32	437	2215
33	449	2193
34	460	2170
35	470	2142
36	482	2124
37	494	2107
38	504	2084
39	516	2066
40	529	2052
41	541	2037
42	552	2018
43	563	1999
44	575	1980
45	586	1961
46	597	1945
47	610	1932
48	624	1924
49	635	1907
50	648	1894
51	662	1886
52	674	1869
53	687	1857
54	701	1848
55	715	1840
56	728	1826
57	739	1810
58	753	1801
59	768	1792
60	781	1780
61	795	1770
62	807	1756
63	823	1749
64	840	1745
65	852	1731
66	865	1718
67	879	1706
68	891	1691
69	905	1681
70	919	1670
71	933	1659
72	946	1647
73	961	1636
74	975	1625
75	991	1617
76	1004	1604
77	1017	1590
78	1030	1578
79	1044	1566
80	1057	1553
81	1070	1540
82	1082	1526
83	1094	1511
84	1109	1501
85	1123	1489
86	1137	1477
87	1150	1464
88	1164	1451
89	1176	1438
90	1191	1426
91	1204	1413
92	1217	1400
93	1228	1385
94	1243	1374
95	1257	1362
96	1270	1348
97	1281	1333
98	1293	1319
99	1305	1305
100	1316	1290
101	1330	1278
102	1343	1265
103	1367	1262
104	1401	1267
105	1412	1252
106	1424	1238
107	1437	1224
108	1450	1210
109	1463	1197
110	1476	1183
111	1489	1170
112	1502	1157
113	1515	1143
114	1529	1130
115	1542	1117
116	1553	1101
117	1565	1087
118	1576	1073
119	1590	1060
120	1601	1045
121	1614	1032
122	1626	1018
123	1638	1004
124	1649	989
125	1665	978
126	1678	964
127	1690	950
128	1701	936
129	1713	922
130	1726	909
131	1738	895
132	1749	881
133	1761	867
134	1774	854
135	1785	840
136	1797	826
137	1811	813
138	1823	800
139	1835	786
140	1846	772
141	1859	759
142	1873	746
143	1884	732
144	1895	719
145	1906	705
146	1918	691
147	1927	677
148	1939	663
149	1950	650
150	1964	637
151	1975	623
152	1988	610
153	2000	597
154	2011	584
155	2023	570
156	2034	557
157	2045	543
158	2058	530
159	2072	518
160	2084	504
161	2096	491
162	2108	478
163	2122	465
164	2135	452
165	2147	439
166	2160	426
167	2172	413
168	2184	400
169	2196	387
170	2207	374
171	2220	361
172	2234	348
173	2247	335
174	2260	322
175	2275	310
176	2291	297
177	2304	284
178	2318	271
179	2331	259
180	2344	246
181	2358	233
182	2372	220
183	2388	207
184	2400	194
185	2412	181
186	2424	168
187	2436	155
188	2450	142
189	2465	129
190	2483	117
191	2498	104
192	2511	91
193	2527	78
194	2539	65
195	2552	52
196	2564	39
197	2576	26
198	2590	13
199	2603	0
